질문 ID,질문 문구,관심사 코드,관심사,레벨,상태,현재 Revision,현재 Revision 적용 시각,현재 Revision 노출,현재 Revision 답변,현재 Revision 답변율(%),현재 Revision 교체,현재 Revision 교체율(%),현재 Revision 미응답,전체 Revision 노출,전체 Revision 답변,전체 Revision 답변율(%),전체 Revision 교체,전체 Revision 미응답
43,"딱 한 권만 남길 수 있다면 어떤 책인가요?","PREFERENCE","취향",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",5,0,0.0,5,100.0,0,5,0,0.0,5,0
347,"오늘 속으로 나를 가만히 안아준 적이 있다면, 어떤 순간이었나요?","EMOTION","감정",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",5,0,0.0,5,100.0,0,5,0,0.0,5,0
38,"전시회에서 작품을 보는 나만의 방식이 있다면, 어떤 건가요?","PREFERENCE","취향",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",4,0,0.0,4,100.0,0,4,0,0.0,4,0
602,"죽기 전에 꼭 해보고 싶은 건 무엇인가요?","VALUES","가치관",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",4,0,0.0,4,100.0,0,4,0,0.0,4,0
798,"지금 아니면 못 갈 것 같다면, 여행과 커리어 중 뭐가 더 끌리나요?","VALUES","가치관",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",4,0,0.0,4,100.0,0,4,0,0.0,4,0
23,"무인도에 딱 하나만 가져간다면 무엇인가요?","PREFERENCE","취향",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",3,0,0.0,3,100.0,0,3,0,0.0,3,0
90,"지금 내가 가장 필요한 감정은 뭘까요?","EMOTION","감정",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",3,0,0.0,3,100.0,0,3,0,0.0,3,0
99,"나에게 사랑이란 어떤 감정인가요?","EMOTION","감정",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",3,0,0.0,3,100.0,0,3,0,0.0,3,0
127,"운동하기 싫을 때 나를 움직이게 하는 주문이 있다면, 어떤 건가요?","ROUTINE","루틴",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",3,0,0.0,3,100.0,0,3,0,0.0,3,0
138,"새로운 취미를 시작할 때 거치는 과정이 있다면, 어떤 건가요?","ROUTINE","루틴",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",3,0,0.0,3,100.0,0,3,0,0.0,3,0
167,"나랑 유머 코드가 가장 잘 맞는 사람은 누구인가요?","RELATIONSHIP","관계",1,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",3,0,0.0,3,100.0,0,3,0,0.0,3,0
170,"나를 가장 잘 이해한다고 느끼는 사람은 누구인가요?","RELATIONSHIP","관계",2,"ACTIVE",1,"2026-08-27T19:02:20.711831Z",3,0,0.0,3,100.0,0,3,0,0.0,3,0
