term,odds_ratio,or_lo,or_hi,p,q_fdr,판정
관심사_감정,1.035121392505744,0.7494502328611004,1.429683053313045,0.8340561585304948,0.8452643638032483,근거 부족
관심사_관계,0.5363794481526448,0.3624496465621717,0.7937734665474022,0.0018403385406528094,0.0193235546768545,유의(FDR<5%)
관심사_루틴,0.7752498334764624,0.527256689498173,1.139885593253085,0.19556355760110822,0.5093528519836712,근거 부족
관심사_사랑,0.8927950924455605,0.5715982987807815,1.3944811921152571,0.6181870963821816,0.7470477485764054,근거 부족
관심사_취향,0.8866199209157632,0.6533887957422884,1.2031043220929798,0.4397041798946856,0.6595562698420284,근거 부족
레벨2,0.7502137214374341,0.5692179158623887,0.9887612672561571,0.04133059661863614,0.21698563224783973,근거 부족
[규칙] 양자택일형,1.0858130818696308,0.7687258621683463,1.5336937480334623,0.6403266416369189,0.7470477485764054,근거 부족
[규칙] 경험 전제형(~있다면/~적 있),0.6032704978197501,0.42915962322142126,0.848018485075237,0.0036284579070542094,0.025399205349379467,유의(FDR<5%)
[규칙] 가정·상상형(~한다면),0.7820008805028479,0.5177278724818298,1.1811714408493457,0.2425489771350815,0.5093528519836712,근거 부족
[규칙] 정의·개념형,0.7308395944732448,0.3683049536178914,1.4502289681500233,0.3698199963273684,0.6471849935728947,근거 부족
[규칙] 복문(쉼표·두 질문),1.2428499790297547,0.8755327567308097,1.764269878538863,0.22386637486582772,0.5093528519836712,근거 부족
[규칙] 오늘 기반,0.4229177971674308,0.2833876511158278,0.6311476962976331,2.5206968104240893e-05,0.0005293463301890588,유의(FDR<5%)
[규칙] 최근·이번 주 회상,0.6898713809537231,0.42810260767572117,1.1117019932275174,0.12726178060136265,0.44541623210476927,근거 부족
[규칙] 요즘(현재 상태),0.66401057948872,0.28431622923736827,1.5507734147136614,0.3440801773365658,0.6471849935728947,근거 부족
[규칙] 과거 기억 회상,0.95201847798121,0.5810167218226504,1.5599192731914358,0.8452643638032483,0.8452643638032483,근거 부족
[규칙] 미래·상상,0.8324508086201217,0.4251655422477934,1.6298930179257514,0.5926947937373912,0.7470477485764054,근거 부족
[규칙] 부정·무거운 감정,1.075106131139095,0.727761538921249,1.5882306653992442,0.7160376445175374,0.7914100281509624,근거 부족
[규칙] 연애 대상 전제,1.4446043400486954,0.6092940069209712,3.4250816118042113,0.40365427265781273,0.6520569019856974,근거 부족
[규칙] 특정 활동 전제,0.7719071180385226,0.5254674200983821,1.133924913493171,0.18702889899827913,0.5093528519836712,근거 부족
[규칙] 자기 수용·칭찬,0.8140516962589086,0.3959415294718825,1.6736818819331913,0.5758561029901502,0.7470477485764054,근거 부족
[규칙] 길이(10자),0.8739788842656749,0.7411195807694807,1.0306556593056202,0.10936394715448466,0.44541623210476927,근거 부족
