질문 ID,원인 진단,수정 원칙,수정안 1 (권장),수정안 2 (대안),분류,추정 답변율(축소),조치 유형,수정안 잔여 위험,예측(기존 문구),예측(수정안),예측 변화(%p)
528,오늘 대화가 없었다면 답할 수 없음 + 예/아니오로 끝나는 닫힌 질문,시점 중립화 + 열린 질문,진심이 닿았다고 느끼는 대화는 어떤 대화인가요?,최근 대화 중 마음에 오래 남은 한마디는 무엇인가요?,A. 교체·재작성 우선,0.1826642845408639,재작성,,0.19829537592324364,0.3495370017587798,15.124162583553613
333,'오늘' 재료가 부족한 시점에 노출 + 감각 기억을 요구,시점 중립화 + 최애형 전환,가장 좋아하는 소리나 향기는 무엇인가요?,맡으면 기분이 좋아지는 향기가 있나요? 없다면 좋아하는 소리를 알려주세요.,A. 교체·재작성 우선,0.2035522509636216,재작성,,0.24470212089234164,0.4922719811857026,24.756986029336094
347,오늘 + 경험 전제 + 추상적 표현('속으로 안아준')의 3중 장벽,구체 행동으로 바꾸고 전제 제거,힘든 날 나를 달래주는 나만의 방법은 무엇인가요?,스스로에게 가장 자주 해주는 위로의 말은 무엇인가요?,A. 교체·재작성 우선,0.1971405983841432,재작성,,0.22525704815304684,0.5160492523475562,29.079220419450934
353,하루가 끝나지 않은 시점에는 칭찬할 거리가 없음,시점 중립화 (시점 없는 성향형 우선),내가 나에게 가장 듣고 싶은 칭찬은 무엇인가요?,요즘의 나에게 칭찬 한 마디를 해준다면 무엇일까요?,A. 교체·재작성 우선,0.2511919063135358,재작성,,0.25849296289060014,0.4741628018700752,21.566983897947505
338,'새로 알게 된 것'이 없을 가능성이 높음 + 이중 조건(알게 된 것 중 더 궁금해진 것),시점 중립화 + 조건 하나로 축소 (시점 없는 성향형 우선),더 깊이 알고 싶은 분야나 주제는 무엇인가요?,요즘 가장 궁금한 건 무엇인가요?,A. 교체·재작성 우선,0.2453220958370414,재작성,,0.28677415027336,0.4857576518655106,19.898350159215063
623,오늘 + '선택'이라는 추상 단위를 떠올리기 어려움,최근 범위로 넓히고 구체화 (시점 없는 성향형 우선),망설이다가 해서 다행이었던 일은 무엇인가요?,최근 내가 내린 선택 중 잘했다 싶은 건 무엇인가요?,A. 교체·재작성 우선,0.2561662048588659,재작성,,0.2641767023949801,0.4995845837158073,23.540788132082717
335,오늘 소비가 없으면 답 불가 + '가심비' 개념 해석 부담,범위 확대 + 쉬운 표현,돈이 아깝지 않았던 소비는 무엇인가요?,적은 돈으로 큰 만족을 얻었던 것은 무엇인가요?,A. 교체·재작성 우선,0.2597785017374249,재작성,,0.2905341594159659,0.49902188077573656,20.848772135977068
362,오늘 + 경험 전제 + 추상 은유('감정의 온도'),성향형으로 전환,기분이 갑자기 바뀌는 순간은 주로 언제인가요?,내 기분을 한순간에 바꿔놓는 것은 무엇인가요?,A. 교체·재작성 우선,0.2582374348005364,재작성,,0.25917730177341675,0.5203885011080452,26.12111993346285
536,'이번 주'로 기간이 좁음 + 특정 인물·만남 전제 + 청유형이라 질문처럼 읽히지 않음,기간 제거 + 인물 전제 완화,소중한 사람과 함께할 때 가장 좋아하는 순간은 언제인가요?,소중한 사람과 꼭 다시 하고 싶은 일은 무엇인가요?,A. 교체·재작성 우선,0.2836350240959401,재작성,,0.3079064627739006,0.3377772043291795,2.9870741555278912
450,'나만의 방법'이 있어야 답할 수 있음,경험 전제 제거 + 선택지형,"집중이 안 될 때 잠깐 쉬는 편인가요, 억지로라도 버티는 편인가요?",집중이 안 될 때 가장 먼저 하는 행동은 무엇인가요?,A. 교체·재작성 우선,0.3376981728757762,재작성,,0.36659594571162046,0.48761574006824093,12.101979435662047
43,독서 습관 전제 + '딱 한 권' 결정 부담,대상 확장(책 → 콘텐츠),딱 하나만 평생 다시 볼 수 있다면 어떤 책·영화·드라마를 고를까요?,인생 책이나 인생 영화가 있다면 무엇인가요? 없다면 가장 최근에 본 것을 알려주세요.,A. 교체·재작성 우선,0.3454909680589281,재작성,특정 활동 전제,0.39476534141814007,0.36609969763737926,-2.866564378076081
127,운동 습관 전제 + '주문' 은유,대상 확장 + 전제 제거,하기 싫은 일을 할 때 나를 움직이게 하는 한마디는 무엇인가요?,"운동이든 공부든 하기 싫을 때 나를 움직이는 건 보상인가요, 의무감인가요?",A. 교체·재작성 우선,0.291772929973337,재작성,,0.3167407519139069,0.4395353186402687,12.27945667263618
507,가족 갈등 노출 부담 + 경험 전제,부정 프레임을 성향형으로 완화,가족에게 가장 솔직해지기 어려운 부분은 무엇인가요?,가족과 나의 가장 다른 점은 무엇인가요?,A. 교체·재작성 우선,0.2901092683793589,재작성,,0.2946856173968586,0.3455958341625809,5.091021676572227
