id,T,P,E,W,S,F,C
1,1,0,1,1,1,p,0
2,0,0,1,1,1,p,0
3,0,1,1,1,1,p,0
4,0,1,1,1,1,p,0
5,0,1,2,1,1,r,0
6,0,0,1,1,1,p,0
7,0,0,1,1,1,p,0
8,1,0,1,1,1,p,0
9,0,0,1,1,1,p,0
10,0,1,1,1,1,p,0
11,1,2,2,1,1,r,0
12,0,0,1,1,1,t,0
13,0,0,1,1,1,t,0
14,0,0,1,1,1,p,0
15,0,0,1,1,1,p,0
16,0,0,1,1,1,p,0
17,0,2,1,1,1,t,0
18,0,2,1,1,1,t,0
19,0,0,1,1,1,p,0
20,0,1,1,1,1,p,0
21,0,2,2,1,1,r,0
22,0,1,1,1,1,t,0
23,0,0,1,1,1,h,0
24,0,0,2,1,2,p,0
25,0,2,1,1,1,p,0
26,0,0,1,1,1,p,0
27,0,1,2,1,2,t,0
28,0,0,1,1,1,p,0
29,0,1,1,1,1,t,0
30,0,0,1,1,1,p,0
31,0,1,1,1,1,p,0
32,0,1,1,1,1,p,0
33,0,1,2,1,1,t,0
34,0,0,2,1,1,h,0
35,0,0,1,1,1,p,0
36,0,2,1,1,1,p,0
37,0,0,1,1,1,p,0
38,0,2,2,1,1,t,0
39,0,0,1,1,1,p,0
40,0,1,1,1,1,p,0
41,0,0,2,1,2,h,0
42,0,1,2,1,1,t,0
43,0,2,2,1,1,h,0
44,0,0,2,1,2,d,0
45,0,0,2,1,2,t,0
46,0,0,2,1,2,t,0
47,0,0,2,1,1,h,0
48,0,0,2,1,1,t,0
49,0,0,3,1,2,h,1
50,0,1,2,1,1,r,0
51,1,0,1,1,2,t,1
52,2,1,1,1,1,r,0
53,2,1,1,1,1,r,0
54,1,2,2,3,3,r,0
55,1,0,1,2,2,n,0
56,2,2,1,1,1,r,0
57,1,1,1,1,1,r,0
58,1,0,2,1,2,t,1
59,2,1,1,2,2,r,0
60,1,1,1,2,2,o,0
61,1,1,1,2,2,r,0
62,0,2,2,2,2,p,0
63,2,2,1,1,1,p,0
64,0,0,1,1,1,t,0
65,0,0,2,2,2,t,0
66,1,1,1,1,1,r,0
67,1,2,2,3,3,r,0
68,0,0,1,1,1,p,0
69,1,2,2,2,2,r,0
70,0,0,1,1,1,p,0
71,0,0,1,2,1,t,0
72,0,1,2,2,2,t,0
73,0,0,2,2,2,t,0
74,1,2,3,2,2,r,1
75,0,0,2,1,2,t,0
76,0,0,2,2,2,t,0
77,0,0,2,2,2,t,0
78,0,1,2,2,2,r,0
79,0,1,3,1,1,d,0
80,1,2,2,3,3,r,0
81,0,2,2,2,2,r,0
82,0,2,2,2,2,r,0
83,0,2,1,2,1,t,0
84,0,2,2,3,3,o,0
85,0,1,2,2,2,r,0
86,0,1,2,3,3,r,0
87,0,0,1,1,1,t,0
88,1,2,2,3,3,r,0
89,0,0,1,1,2,r,0
90,1,0,3,2,2,d,1
91,0,0,2,1,2,t,0
92,2,0,1,2,2,o,0
93,0,2,3,3,3,r,0
94,0,1,3,3,3,r,0
95,0,0,3,1,1,d,0
96,0,0,3,2,2,d,0
97,0,1,3,3,2,h,0
98,0,0,3,2,2,d,1
99,0,0,3,2,2,d,0
100,0,0,3,2,2,d,1
101,0,0,1,1,1,t,0
102,0,2,1,1,1,t,0
103,0,0,1,1,1,t,0
104,0,0,1,1,1,t,0
105,0,0,1,1,1,t,0
106,0,1,1,1,1,t,0
107,0,0,1,1,1,t,0
108,0,0,1,1,1,t,0
109,0,0,1,1,1,p,0
110,0,2,1,1,1,t,0
111,0,0,1,1,1,t,0
112,0,0,1,1,1,t,0
113,0,1,1,2,2,t,0
114,0,0,1,1,1,t,0
115,0,2,1,1,1,t,0
116,0,0,1,1,1,t,0
117,0,1,2,1,1,t,0
118,0,2,1,1,1,t,0
119,0,2,2,1,1,t,0
120,0,0,1,1,1,t,0
121,0,0,1,1,1,t,0
122,0,0,1,1,1,t,0
123,0,2,1,1,1,t,0
124,0,2,1,1,1,t,0
125,0,2,1,1,2,t,0
126,0,2,1,1,1,t,0
127,0,2,1,1,1,t,1
128,0,2,1,1,1,t,0
129,0,2,1,1,1,t,0
130,0,0,1,1,1,t,0
131,0,1,2,2,1,t,0
132,0,2,1,1,1,t,0
133,0,2,1,1,1,t,0
134,0,0,1,1,1,t,0
135,0,2,1,2,1,t,0
136,0,2,1,1,1,t,0
137,0,0,1,1,1,t,0
138,0,2,2,1,1,t,0
139,0,0,1,1,1,t,0
140,0,2,1,1,1,t,0
141,0,0,3,1,2,h,1
142,0,0,2,1,1,p,0
143,0,0,2,1,1,t,0
144,0,0,2,1,2,t,0
145,0,0,2,1,1,d,0
146,0,0,2,1,1,t,0
147,0,0,1,1,1,t,0
148,0,1,2,1,1,t,0
149,0,0,3,1,1,d,0
150,2,0,2,1,1,o,0
151,0,1,1,1,2,n,0
152,0,1,1,1,2,n,0
153,0,1,1,1,2,n,0
154,0,0,1,1,1,n,0
155,1,2,1,1,1,r,0
156,0,1,1,1,1,n,0
157,0,0,1,1,1,n,0
158,0,2,1,1,1,n,0
159,1,2,1,2,2,n,0
160,0,0,1,1,1,n,0
161,0,1,1,1,1,t,0
162,0,0,1,1,1,t,0
163,0,0,1,1,1,t,0
164,0,0,1,1,1,t,0
165,0,1,1,1,1,t,0
166,0,0,1,2,2,t,0
167,0,0,1,1,1,n,0
168,0,0,2,1,2,t,0
169,0,0,1,1,1,t,0
170,0,1,1,2,2,n,0
171,0,0,2,1,1,d,0
172,0,0,2,2,2,t,0
173,0,0,1,1,1,d,0
174,0,0,2,2,2,t,0
175,0,2,2,2,2,t,0
176,0,0,2,1,1,d,0
177,0,0,2,2,2,t,0
178,0,2,2,2,2,n,0
179,0,0,1,1,1,c,0
180,0,0,1,1,1,t,0
181,0,1,1,2,2,n,0
182,0,0,2,2,1,t,0
183,0,0,2,2,2,t,0
184,0,0,1,1,2,t,0
185,0,2,2,3,3,r,0
186,0,0,2,1,1,t,0
187,0,0,2,1,1,t,0
188,0,2,2,3,3,r,0
