질문 ID,질문 문구,관심사,레벨,상태,노출,답변,교체,미응답,답변율(%),교체율(%),예측 답변율(문구 모델),추정 답변율(축소),추정 하한(10%),추정 상한(90%),P(평균 미만),P(평균 미만|데이터만),위험 특성,분류,양자택일형,경험 전제형(~있다면/~적 있),가정·상상형(~한다면),정의·개념형,복문(쉼표·두 질문),오늘 기반,최근·이번 주 회상,요즘(현재 상태),과거 기억 회상,미래·상상,부정·무거운 감정,연애 대상 전제,특정 활동 전제,자기 수용·칭찬,문구 길이,수정 방향(패턴),원인 진단,수정 원칙,수정안 1 (권장),수정안 2 (대안)
528,오늘 누군가와 진심이 닿는 대화를 나눴나요?,관계,2,ACTIVE,3,0,2,1,0.0,66.7,0.19875858106605326,0.1832614577368721,0.10815748164430854,0.2656683222034355,0.9998094659484481,0.7497047243297865,오늘 기반,A. 교체·재작성 우선,False,False,False,False,False,True,False,False,False,False,False,False,False,False,24,"'오늘'→'요즘/평소'로 시점 중립화, 또는 저녁 시간대에만 노출",오늘 대화가 없었다면 답할 수 없음 + 예/아니오로 끝나는 닫힌 질문,시점 중립화 + 열린 질문,진심이 닿았다고 느끼는 대화는 어떤 대화인가요?,최근 대화 중 마음에 오래 남은 한마디는 무엇인가요?
333,"오늘 기억에 남는 소리나 향기가 있다면, 어떤 건가요?",취향,2,ACTIVE,12,1,8,3,8.3,66.7,0.2515452812513871,0.20902863582692888,0.1368520807168776,0.2866087905916882,0.9997884337541977,0.9623426211317463,"오늘 기반, 경험 전제형(~있다면/~적 있)",A. 교체·재작성 우선,False,True,False,False,True,True,False,False,True,False,False,False,False,False,30,"'오늘'→'요즘/평소'로 시점 중립화, 또는 저녁 시간대에만 노출 / '~한 적이 있다면'→'~하는 편인가요/주로 무엇인가요' 성향형으로 전환하거나 '없다면 ~' 대안 제시",'오늘' 재료가 부족한 시점에 노출 + 감각 기억을 요구,시점 중립화 + 최애형 전환,가장 좋아하는 소리나 향기는 무엇인가요?,맡으면 기분이 좋아지는 향기가 있나요? 없다면 좋아하는 소리를 알려주세요.
347,"오늘 속으로 나를 가만히 안아준 적이 있다면, 어떤 순간이었나요?",감정,2,ACTIVE,5,0,5,0,0.0,100.0,0.22763307976743113,0.1995139447218975,0.12330209067491711,0.2823023905920152,0.9996644185919139,0.8552045679155079,"오늘 기반, 경험 전제형(~있다면/~적 있)",A. 교체·재작성 우선,False,True,False,False,True,True,False,False,False,False,False,False,False,True,36,"'오늘'→'요즘/평소'로 시점 중립화, 또는 저녁 시간대에만 노출 / '~한 적이 있다면'→'~하는 편인가요/주로 무엇인가요' 성향형으로 전환하거나 '없다면 ~' 대안 제시",오늘 + 경험 전제 + 추상적 표현('속으로 안아준')의 3중 장벽,구체 행동으로 바꾸고 전제 제거,힘든 날 나를 달래주는 나만의 방법은 무엇인가요?,스스로에게 가장 자주 해주는 위로의 말은 무엇인가요?
338,오늘 새롭게 알게 된 것 중 더 궁금해진 건 무엇이었나요?,취향,2,ACTIVE,10,1,8,1,10.0,80.0,0.29144511340621027,0.24934756205860148,0.1702238543230979,0.3333388880811668,0.9977774871224605,0.9289398303091221,오늘 기반,A. 교체·재작성 우선,False,False,False,False,False,True,False,False,False,False,False,False,False,False,32,"'오늘'→'요즘/평소'로 시점 중립화, 또는 저녁 시간대에만 노출",'새로 알게 된 것'이 없을 가능성이 높음 + 이중 조건(알게 된 것 중 더 궁금해진 것),시점 중립화 + 조건 하나로 축소 (시점 없는 성향형 우선),더 깊이 알고 싶은 분야나 주제는 무엇인가요?,요즘 가장 궁금한 건 무엇인가요?
353,오늘 내 자신에게 칭찬 한 마디를 남긴다면 무엇일까요?,감정,2,ACTIVE,5,1,2,2,20.0,40.0,0.2560430957984249,0.24912018555736612,0.16553406889630104,0.3382005554621864,0.9964447941390355,0.7227036943188239,오늘 기반,A. 교체·재작성 우선,False,False,True,False,False,True,False,False,False,False,False,False,False,True,30,"'오늘'→'요즘/평소'로 시점 중립화, 또는 저녁 시간대에만 노출",하루가 끝나지 않은 시점에는 칭찬할 거리가 없음,시점 중립화 (시점 없는 성향형 우선),내가 나에게 가장 듣고 싶은 칭찬은 무엇인가요?,요즘의 나에게 칭찬 한 마디를 해준다면 무엇일까요?
623,돌아보니 칭찬해주고 싶은 오늘의 선택은 무엇인가요?,가치관,2,ACTIVE,5,1,3,1,20.0,60.0,0.2660907868874215,0.2579267021083037,0.17320884997220862,0.3479463676358642,0.9948952968959439,0.7227036943188239,오늘 기반,A. 교체·재작성 우선,False,False,False,False,False,True,False,False,False,False,False,False,False,True,28,"'오늘'→'요즘/평소'로 시점 중립화, 또는 저녁 시간대에만 노출",오늘 + '선택'이라는 추상 단위를 떠올리기 어려움,최근 범위로 넓히고 구체화 (시점 없는 성향형 우선),망설이다가 해서 다행이었던 일은 무엇인가요?,최근 내가 내린 선택 중 잘했다 싶은 건 무엇인가요?
362,"오늘 감정의 온도가 급격히 변한 시점이 있다면, 어떤 때였나요?",감정,2,ACTIVE,4,1,3,0,25.0,75.0,0.26049909910947994,0.25943526746445467,0.17351525160186956,0.3507622279534966,0.994082229127934,0.6528055841951683,"오늘 기반, 경험 전제형(~있다면/~적 있)",A. 교체·재작성 우선,False,True,False,False,True,True,False,False,False,False,False,False,False,False,35,"'오늘'→'요즘/평소'로 시점 중립화, 또는 저녁 시간대에만 노출 / '~한 적이 있다면'→'~하는 편인가요/주로 무엇인가요' 성향형으로 전환하거나 '없다면 ~' 대안 제시",오늘 + 경험 전제 + 추상 은유('감정의 온도'),성향형으로 전환,기분이 갑자기 바뀌는 순간은 주로 언제인가요?,내 기분을 한순간에 바꿔놓는 것은 무엇인가요?
335,오늘 쓴 돈이나 시간 중 가심비 최고였던 건 무엇이었나요?,취향,2,ACTIVE,7,1,6,0,14.3,85.7,0.29725113448880003,0.2718074931998907,0.18736700427520686,0.3610033743665081,0.9925028658004109,0.831939945008278,오늘 기반,A. 교체·재작성 우선,False,False,False,False,False,True,False,False,True,False,False,False,False,False,32,"'오늘'→'요즘/평소'로 시점 중립화, 또는 저녁 시간대에만 노출",오늘 소비가 없으면 답 불가 + '가심비' 개념 해석 부담,범위 확대 + 쉬운 표현,돈이 아깝지 않았던 소비는 무엇인가요?,적은 돈으로 큰 만족을 얻었던 것은 무엇인가요?
536,"이번 주, 소중한 사람과 함께한 기억을 한 줄로 적어볼까요?",관계,2,ACTIVE,3,0,3,0,0.0,100.0,0.30676864283636307,0.282850020223633,0.1930410347824328,0.3776719998270745,0.9850255973871587,0.7497047243297865,최근·이번 주 회상,A. 교체·재작성 우선,False,False,False,False,True,False,True,False,True,False,False,False,False,False,33,기간 제한 제거('최근'→'지금까지/평소'),'이번 주'로 기간이 좁음 + 특정 인물·만남 전제 + 청유형이라 질문처럼 읽히지 않음,기간 제거 + 인물 전제 완화,소중한 사람과 함께할 때 가장 좋아하는 순간은 언제인가요?,소중한 사람과 꼭 다시 하고 싶은 일은 무엇인가요?
325,좋아하는 시의 제목이나 글귀가 있다면 어떤 건가요?,취향,2,ACTIVE,6,1,4,1,16.7,66.7,0.31199094071256867,0.29096832006431156,0.20345218411306643,0.3829496404797051,0.9837733962004133,0.7823706051685392,"경험 전제형(~있다면/~적 있), 특정 활동 전제",A. 교체·재작성 우선,False,True,False,False,False,False,False,False,False,False,False,False,True,False,28,'~한 적이 있다면'→'~하는 편인가요/주로 무엇인가요' 성향형으로 전환하거나 '없다면 ~' 대안 제시 / 대상 확장(예: 책→책·영화·노래 무엇이든) 또는 활동 비경험자용 대안 제시,시 읽는 습관 전제 (특정 활동),대상 확장,마음에 오래 남은 문장은 무엇인가요? 책·노래·대사 무엇이든 좋아요.,좋아하는 노래 가사 한 줄은 무엇인가요?
127,"운동하기 싫을 때 나를 움직이게 하는 주문이 있다면, 어떤 건가요?",루틴,2,ACTIVE,3,0,3,0,0.0,100.0,0.311669976954873,0.28736919937351374,0.197050227617611,0.38259699653365803,0.9825906567263123,0.7497047243297865,"경험 전제형(~있다면/~적 있), 특정 활동 전제",A. 교체·재작성 우선,False,True,False,False,True,False,False,False,False,False,False,False,True,False,37,'~한 적이 있다면'→'~하는 편인가요/주로 무엇인가요' 성향형으로 전환하거나 '없다면 ~' 대안 제시 / 대상 확장(예: 책→책·영화·노래 무엇이든) 또는 활동 비경험자용 대안 제시,운동 습관 전제 + '주문' 은유,대상 확장 + 전제 제거,하기 싫은 일을 할 때 나를 움직이게 하는 한마디는 무엇인가요?,"운동이든 공부든 하기 싫을 때 나를 움직이는 건 보상인가요, 의무감인가요?"
507,"가족이라서 참고 있는 게 있다면, 어떤 건가요?",관계,2,ACTIVE,4,1,2,1,25.0,50.0,0.29550012363175576,0.29088977841381997,0.2012873375207935,0.38519331681728397,0.9816607658961463,0.6528055841951683,경험 전제형(~있다면/~적 있),A. 교체·재작성 우선,False,True,False,False,True,False,False,False,False,False,False,False,False,False,26,'~한 적이 있다면'→'~하는 편인가요/주로 무엇인가요' 성향형으로 전환하거나 '없다면 ~' 대안 제시,가족 갈등 노출 부담 + 경험 전제,부정 프레임을 성향형으로 완화,가족에게 가장 솔직해지기 어려운 부분은 무엇인가요?,가족과 나의 가장 다른 점은 무엇인가요?
356,"오늘 아주 잠깐이라도 행복이 스친 순간이 있다면, 어떤 순간이었나요?",감정,1,ACTIVE,6,2,4,0,33.3,66.7,0.29213542507200185,0.2980951176461833,0.20984591020215637,0.3906574553577836,0.9793582699862707,0.6286304397310631,"오늘 기반, 경험 전제형(~있다면/~적 있)",A. 교체·재작성 우선,False,True,False,False,True,True,False,False,False,False,False,False,False,False,38,"'오늘'→'요즘/평소'로 시점 중립화, 또는 저녁 시간대에만 노출 / '~한 적이 있다면'→'~하는 편인가요/주로 무엇인가요' 성향형으로 전환하거나 '없다면 ~' 대안 제시",오늘 + '있다면' 전제. 레벨1인데도 장벽 높음,최근으로 넓히고 전제 제거,요즘 나를 웃게 만드는 작은 행복은 무엇인가요?,최근에 기분이 좋아졌던 사소한 순간은 언제인가요?
