우선순위,id,q,cat,exp,ans,rep,사후 답변율,P(평균 미만),수정 후 예측,예상 노출(월),기대 추가 답변(월)
1,333,"오늘 기억에 남는 소리나 향기가 있다면, 어떤 건가요?",취향,12,1,8,0.21532591709914023,0.9997381315153178,0.4509186560520509,12.0,2.556123448576921
2,332,오늘 먹은 것 중 기분까지 완벽하게 충전해준 메뉴는 무엇인가요?,취향,10,3,7,0.40670066246940906,0.8489399368354353,0.6189719175004408,10.0,1.919242555519092
3,337,오늘 온전한 휴식시간을 보냈나요?,취향,12,4,7,0.26161878273333466,0.9876184169963294,0.4349546322577238,12.0,1.88065146412195
4,365,오늘 나를 가장 진 빠지게 만든 감정은 무엇인가요?,감정,10,3,6,0.46545328725374135,0.6319869219685765,0.6620091420185428,10.0,1.7771523560544684
5,369,오늘 내가 필사적으로 피하고 싶었던 감정은 무엇인가요?,감정,9,3,6,0.23673469617471612,0.9956476022517656,0.4212902503505641,9.0,1.5017868813274977
6,338,오늘 새롭게 알게 된 것 중 더 궁금해진 건 무엇이었나요?,취향,10,1,8,0.1845122570681667,0.9999559048134985,0.3470680261345091,10.0,1.4697418620889093
7,344,오늘 갑자기 멍해진 순간이 있었나요?,감정,5,2,2,0.3170121104983727,0.9774437418457873,0.6217496825247464,5.0,1.377636638585568
8,347,"오늘 속으로 나를 가만히 안아준 적이 있다면, 어떤 순간이었나요?",감정,5,0,5,0.2101670625499639,0.9983464242607721,0.49389767365227955,5.0,1.2826698156832284
9,335,오늘 쓴 돈이나 시간 중 가심비 최고였던 건 무엇이었나요?,취향,8,1,6,0.16185570684953277,0.9999297104790739,0.3196009401425767,8.0,1.1409980672966313
10,623,돌아보니 칭찬해주고 싶은 오늘의 선택은 무엇인가요?,가치관,5,1,3,0.40117656271683105,0.8571324623780927,0.6507062328546462,5.0,1.1280565560398779
11,356,"오늘 아주 잠깐이라도 행복이 스친 순간이 있다면, 어떤 순간이었나요?",감정,6,2,4,0.33574799148096635,0.9649277268394111,0.5302873839168457,6.0,1.0553523527239324
12,353,오늘 내 자신에게 칭찬 한 마디를 남긴다면 무엇일까요?,감정,5,1,2,0.3244639559483512,0.9386050767847813,0.5540487878810756,5.0,1.037891304412762
13,80,"최근에 누군가를 용서했던 경험이 있다면, 어떤 일이었나요?",감정,5,2,3,0.3450027080370588,0.9221161590101505,0.5660063436786654,5.0,0.9990980229183644
14,67,최근에 질투를 느꼈던 순간이 있다면 어떤 상황이었나요?,감정,5,1,4,0.3283316403571721,0.9437228341874486,0.5411177888210421,5.0,0.9619489725473214
15,374,오늘 느낀 감정 중 다시 느끼고 싶지 않은 건 무엇인가요?,감정,5,2,3,0.48140090538382485,0.5661299022315046,0.6893469077599473,5.0,0.940067973291967
16,362,"오늘 감정의 온도가 급격히 변한 시점이 있다면, 어떤 때였나요?",감정,4,1,3,0.22502742054752245,0.9976495715390912,0.47383462413091226,4.0,0.899832383178091
