id,q,cat,level,exp,ans,rep,nr,T,P,E,W,S,F,C,사후 답변율,사후 하한(10%),사후 상한(90%),P(평균 미만)
333,"오늘 기억에 남는 소리나 향기가 있다면, 어떤 건가요?",취향,2,12,1,8,3,2,2,1,1,1,r,0,0.21532591709914023,0.14587848416460625,0.30599044455694513,0.9997381315153178
338,오늘 새롭게 알게 된 것 중 더 궁금해진 건 무엇이었나요?,취향,2,10,1,8,1,2,2,2,1,1,r,0,0.1845122570681667,0.12254149824527624,0.26824185001431095,0.9999559048134985
337,오늘 온전한 휴식시간을 보냈나요?,취향,2,12,4,7,1,2,0,1,1,1,o,0,0.26161878273333466,0.16462110733614366,0.38914566632508446,0.9876184169963294
332,오늘 먹은 것 중 기분까지 완벽하게 충전해준 메뉴는 무엇인가요?,취향,1,10,3,7,0,2,1,1,1,1,r,0,0.40670066246940906,0.30272120012018494,0.5197721467155988,0.8489399368354353
411,감정의 회복 속도가 빠른 편인가요 혹은 느린편인가요?,감정,2,10,3,7,0,0,0,1,1,1,c,0,0.5422509414228367,0.44637425549558873,0.6350971178578312,0.27519903063515533
29,사진 찍을 때 주로 담는 장면은 무엇인가요?,취향,2,14,7,6,1,0,1,1,1,1,t,0,0.5506435093661645,0.45703043335625443,0.6408016976646413,0.23352425525337567
8,요즘 자주 보는 영상의 주제는 무엇인가요?,취향,1,11,5,6,0,1,0,1,1,1,p,0,0.5749921702613209,0.46542206775863904,0.6776581920823466,0.18207609599567454
365,오늘 나를 가장 진 빠지게 만든 감정은 무엇인가요?,감정,2,10,3,6,1,2,1,1,2,2,r,0,0.46545328725374135,0.34817142296638454,0.5866835114046488,0.6319869219685765
330,돈 걱정 없이 한 달 살기 한다면 어디로 가고 싶나요?,취향,2,9,3,6,0,0,0,1,1,1,h,0,0.5200415504760846,0.4131688077853223,0.6251110134664097,0.39443618982935713
369,오늘 내가 필사적으로 피하고 싶었던 감정은 무엇인가요?,감정,2,9,3,6,0,2,2,2,2,2,r,1,0.23673469617471612,0.14960008803479447,0.3535227615912059,0.9956476022517656
315,"나만의 공부 스타일이 있다면, 어떤 건가요?",취향,2,8,2,6,0,0,2,1,1,1,t,0,0.347973194545521,0.26428662741474707,0.44223061997654906,0.9773128570701697
